Data,01.09.2021,02.09.2021,03.09.2021,04.09.2021,05.09.2021,06.09.2021,07.09.2021,08.09.2021,09.09.2021,10.09.2021,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,,,,,,,,,,,,,,
Afumați,0.83,0.71,0.71,0.83,1.07,0.83,1.31,1.54,1.54,1.9,2.37,2.85,3.09,3.2,4.15,4.27,5.34,5.7,6.05,5.94,6.18,6.29,6.77,6.77,7.01,7.36,8.58,9.42,9.18,9.3,10.13,10.61,11.57,12.29,13.01,14.08,14.8,16.35,16.71,16.47,15.28,14.92,15.52,15.52,14.32,13.73,13.37,14.81,,,,,,,,,,,,,,
Balotești,1.25,1.38,1.38,1.27,1.16,1.16,1.16,1.16,1.27,1.27,1.16,1.06,1.06,0.95,0.95,1.27,1.69,1.9,2.22,2.32,2.75,2.96,2.85,3.59,3.7,4.02,4.44,5.18,5.71,5.6,6.44,6.34,6.66,7.28,7.92,7.92,7.92,7.6,8.45,8.76,8.96,9.81,9.81,10.12,10.12,11.28,11.92,13.48,,,,,,,,,,,,,,
Berceni,0.53,0.64,0.85,1.07,1.39,1.39,1.28,1.28,1.28,1.6,1.92,2.14,2.24,2.67,2.67,3.31,3.1,3.52,3.42,3.32,3.75,4.07,4.5,4.61,5.25,5.79,7.4,7.72,8.04,8.9,10.08,11.26,14.05,14.57,14.68,15.43,16.29,16.29,17.36,17.79,16.45,16.13,16.45,16.88,16.45,16.24,14.96,15.57,,,,,,,,,,,,,,
Brănești,0.91,0.91,1.01,1.01,1.72,1.82,1.52,1.52,1.52,1.72,1.52,1.72,2.02,1.92,2.22,2.53,2.63,2.83,3.34,4.04,4.14,4.34,4.44,4.44,5.05,5.66,6.47,6.87,7.17,7.17,7.17,8.29,8.18,7.78,8.48,8.68,9.29,10.3,10.1,11.01,10.31,10.81,11.82,12.93,13.64,14.35,14.75,15.15,,,,,,,,,,,,,,
Bragadiru,1.1,1.13,1.17,1.26,1.23,1.16,1.42,1.42,1.58,1.81,1.97,2.07,2.3,2.39,2.55,2.75,3.17,3.14,3.69,4.1,4.65,5.17,5.46,6.11,6.91,7.75,8.23,8.94,9.77,10.45,11.16,12.32,13.87,14.12,14.6,15.47,15.95,16.82,17.76,18.24,18.94,19.42,19.52,20.23,19.87,20.48,20.45,20.33,,,,,,,,,,,,,,
Buftea,1.02,1.06,1.32,1.36,1.62,1.61,1.7,1.7,1.74,1.87,1.91,1.95,2,1.91,1.95,2.04,1.95,2,2.04,2.04,2.12,2.16,2.25,2.55,2.8,2.72,3.14,3.52,3.61,3.99,4.67,5.81,7.34,7.77,8.57,9.25,9.89,10.18,11.2,12.52,12.65,12.9,13.07,12.82,13.16,12.65,12.05,12.47,,,,,,,,,,,,,,
Cernica,0.79,0.53,0.53,0.44,0.61,0.61,0.61,0.53,0.53,0.53,0.7,0.7,0.79,0.96,0.79,0.88,1.05,1.4,1.84,2.1,2.53,2.71,3.23,3.76,3.93,4.19,4.9,5.42,5.6,6.3,6.91,7,7.87,8.14,8.93,9.01,9.28,9.63,11.03,12.43,13.56,13.3,14.08,14.61,14.7,15.57,15.31,15.93,,,,,,,,,,,,,,
Chiajna,2.03,2.09,2.12,2.27,2,2.03,2.09,2.11,2,2.06,2.17,2.09,2.03,2.17,2.68,2.71,2.92,3.04,3.46,3.59,4.48,4.93,5.43,6.36,6.95,7.25,7.99,8.43,8.58,9.21,10.07,10.9,11.7,12.46,13.02,13.62,14.57,15.69,17,17.95,18.89,19.04,19.36,20.43,21.14,21.8,22.27,22.4,,,,,,,,,,,,,,
Chitila,0.92,0.92,0.92,0.92,0.92,0.98,0.92,0.92,0.85,0.92,0.92,0.92,1.04,0.79,0.79,0.73,1.04,1.22,1.4,1.53,1.65,1.83,1.83,2.14,2.26,2.87,3.12,3.48,3.97,4.34,4.52,5.81,6.05,6.42,7.03,7.21,7.88,8.68,10.08,10.51,10.88,11.3,11.3,12.4,12.83,12.28,12.65,12.77,,,,,,,,,,,,,,
Ciolpani,0.37,0.37,0.55,0.55,0.55,0.55,0.55,0.74,0.55,0.55,0.55,0.74,1.29,1.65,1.65,2.02,2.02,2.21,2.21,2.21,2.94,3.31,3.86,4.23,4.97,4.97,5.15,4.96,4.96,4.78,6.07,5.88,6.25,6.43,6.25,7.17,8.27,9.56,9.56,10.66,11.22,11.96,13.06,13.24,12.51,12.87,13.03,13.05,,,,,,,,,,,,,,
